case,household_size,gas_electric_included,gas_method,duel_method,elec_method,heat_electric,heat_gas,heat_oil,heat_solid,heat_solidoil,heat_calor,heat_other,rent_net,rent_service,council_tax,water_charge,sewage_charge,housing_insurance,education_expense,telephone_exp,mobile_exp,comms_expenses,gas_expenses,elec_expenses,duel_energy,tv_a_exp,vehicle_road_tax,vehicle_insurance,internet_wk,insurance_exp,furniture,holiday_UK,cruise_UK,holiday_outside,cruise_outside,domestic_flights,int_flight,gas_meter,duel_prepayment,gas_payment,ctsproxy,council_water,housing_expenses,food_exp,tobacco_exp,alcohol_exp,transport_costs,clothing_exp,total_exp,coffee_exp,tea_exp,sausage_exp,cakes_exp,petrol_exp,tp_exp,jewelry_exp,cosmetics_exp,elec_slot_payment,c45212t,railway_exp,pet_food,pet_acc,gas_slot_payment,gas_bottle_slot,p116t,food_expenses,alcohol_expenses,gross_income,gross_normal,disposable_income,taxes,p515p
1,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,21.550384615384615,3,NA,3.3,NA,NA,NA,31.16,9.23,10.62,NA,3.06,NA,NA,NA,45.23,NA,NA,NA,230.77,NA,NA,NA,NA,NA,9.23,NA,NA,96.82940119113232,80.48,NA,18.125,6.64,4.55,488.2344011911323,NA,NA,NA,NA,NA,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.48,18.125,962.82,972.44,728.5,149.55,96.82940119113232
2,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,161.55,NA,40.35375,9.7,NA,NA,NA,NA,16.16,16.75,NA,75.01,NA,NA,0.38,10.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.4226927360475,58.225,8.825,37.055,178.95,7.78,663.2926927360476,NA,NA,NA,NA,52.895,1.495,NA,NA,NA,NA,NA,5.285,NA,NA,NA,17.99,58.225,37.055,1063.93,1063.93,852.99,118.62,229.4226927360475
3,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,126.93,NA,26.130961538461538,11.77,NA,NA,NA,NA,11.08,NA,NA,NA,20.41,3.06,3,13.85,7.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.02928147727107,30.435,NA,NA,105.755,26.3,503.82428147727103,NA,0.8,NA,0.545,24.975,1.475,NA,1.995,NA,NA,NA,NA,NA,NA,NA,NA,30.435,NA,1068.09,1068.09,761.6,215.56,164.02928147727107
4,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,33.863846153846154,7.83,NA,4.5375,NA,NA,7.1,16.16,NA,NA,57.71,3.06,7.86,12.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.129179570542874,86.715,NA,2.475,138.81745018847604,5.845,703.6391297590188,0.89,0.695,5.125,2.1,NA,4.95,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.715,2.475,1087.69,1087.69,926.55,96.75,47.129179570542874
5,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28.31495192307692,3.46,NA,2.1395,NA,NA,4.62,NA,NA,NA,30.23,3.06,4.04,3.46,6.46,8.31,31.54,NA,NA,NA,NA,NA,18.46,NA,NA,NA,NA,NA,93.09712843065279,38.69,NA,26.965,128.15,33.535,409.2626284306528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.45,38.69,26.965,852.57,921.65,745.6624,100.2376,93.09712843065279
6,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,42.229038461538465,13.15,NA,2.0955,NA,NA,5.47,6.92,18.23,30.23,NA,3.06,4.04,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.23,NA,NA,223.28995532891065,199.595,NA,80.395,73.45,13.385,734.8344553289107,5.25,2,2,NA,29.57,2.625,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,199.595,80.395,729.6432307692307,729.6432307692307,690.0232307692307,39.62,223.28995532891065
7,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,26.15403846153846,8.15,NA,3.4925,NA,NA,3.92,7.62,NA,NA,17.31,NA,NA,NA,NA,NA,15.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.99904408230353,77.37,NA,12.2,59.89,16.89,510.4665440823035,NA,NA,NA,0.925,NA,NA,NA,NA,NA,NA,51.2,NA,NA,NA,NA,53.67,77.37,12.2,1805.26,2151.42,1440.8248,588.5052,250.99904408230353
8,2,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,66.34615384615385,NA,23.933461538461536,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,NA,NA,9.81,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,90.06104802183813,15.5,NA,NA,NA,3.4,177.3960480218381,NA,NA,NA,3.75,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,15.5,NA,277.704,277.704,277.704,NA,90.06104802183813
9,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,155.78,NA,35.65512820512821,9,NA,NA,NA,NA,6.92,6.92,NA,30.23,NA,3.06,3.46,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.0929174286825,99.59,11.975,NA,104.79,6.04,565.8029174286825,NA,1.395,5,3.25,12.55,NA,NA,3.995,NA,NA,NA,NA,NA,NA,NA,NA,99.59,NA,1253.06,1253.06,1019.59,130.55,200.0929174286825
10,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,31.91128205128205,17.77,NA,1.606,NA,NA,15.77,4.62,NA,NA,45,3.06,3.55,16.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.48999726176797,78.485,NA,31.57,237.505,57.005,818.273997261768,NA,NA,NA,NA,29.585,NA,NA,NA,NA,NA,NA,13.11,NA,NA,NA,2.15,78.485,31.57,1445.82,1445.82,1171.64,152.78,132.48999726176797
11,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,19.59822115384615,3.92,NA,NA,NA,NA,1.62,NA,NA,NA,26.31,3.06,NA,NA,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.771772113156398,46.495,NA,2,NA,1.25,99.9667721131564,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.495,2,126.342,126.342,126.342,NA,6.771772113156398
12,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15.670745192307692,NA,3.689807692307692,1.441,NA,NA,2.77,8.31,NA,NA,25.39,3.06,NA,NA,NA,NA,NA,NA,NA,269.23,192.31,NA,NA,NA,NA,NA,164.46,141.66,38.61840479301597,25.53,NA,NA,NA,0.625,467.237404793016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.53,NA,818.91,818.91,611.33,130.82,38.61840479301597
13,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,79,NA,19.276586538461537,3.88,NA,NA,NA,NA,NA,9.23,NA,NA,16.39,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.66241790957005,10.755,NA,NA,NA,5.25,122.61241790957004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,10.755,NA,55.39,55.39,55.39,NA,86.66241790957005
14,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,38.55317307692307,5.82,NA,3.1735,NA,NA,20.77,27.69,NA,NA,62.31,3.06,3.58,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.18431937685835,258.265,NA,19.9,194.76812600969305,119.86,1150.8176379782892,NA,NA,5.195,4.55,92.925,NA,NA,NA,NA,NA,NA,10.445,NA,NA,NA,2,258.265,19.9,2667,2519.048,2003.51,630.05,164.18431937685835
15,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,29.42329326923077,2.77,NA,3.1735,NA,NA,1.85,13.85,NA,NA,13.39,3.06,4.73,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.68887867670598,29.83,NA,2.95,NA,1.25,182.435378676706,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.83,2.95,657.5,657.5,517.5,80,115.68887867670598
